,HER2+,HR+,Triple Neg,importance
chr1:2927-372295,0.0,0.0,0.0,0.0
chr1:471671-1590570,0.0,0.0,0.0,0.0
chr1:1676445-1703748,0.0,-0.06222217146292161,0.07896017939700245,0.14118235085992406
chr1:1738295-2580342,0.0,0.0,0.0,0.0
chr1:2611444-2645074,0.0,0.0,0.0,0.0
chr1:2664285-2665530,0.0,0.0,0.0,0.0
chr1:2672694-2856899,0.0,0.0,0.0,0.0
chr1:2870100-2901629,0.0,0.0,-0.10840266799878724,0.10840266799878724
chr1:2903052-3112977,-0.1079561737107938,0.10379644035286173,0.0,0.21175261406365553
chr1:3125822-3137481,0.0,0.03713874163179064,0.0,0.03713874163179064
chr1:3149648-3157982,-0.0009969541096986972,-0.015687480761868374,0.20602445729969057,0.22270889217125764
chr1:3166706-16531740,-0.016739367540020478,0.16789735200782738,0.0,0.18463671954784786
chr1:16551324-16997273,-0.29430847901897955,0.16366073518918015,0.0,0.4579692142081597
chr1:17030134-22668805,0.0,0.3716554022781172,-0.22032695615121886,0.5919823584293361
chr1:22674759-25318800,-0.027311571045050005,0.014649313571869178,0.0,0.041960884616919186
chr1:25354765-34166798,0.0,0.0,0.0,0.0
chr1:34172947-37578554,0.0,0.0,0.0,0.0
chr1:37599215-72473289,0.0,0.0,0.0,0.0
chr1:72489681-72620747,0.07914558202908491,0.0,0.0,0.07914558202908491
chr1:72661597-109968401,0.0,0.0,0.0,0.0
chr1:109987805-120232261,-0.025516071137452693,0.0,0.11558281291931745,0.14109888405677015
chr1:120313797-120737345,-0.032955110624984366,0.0,0.1017936030229489,0.13474871364793328
chr1:120761983-120923696,0.0,0.0,0.005648711624828079,0.005648711624828079
chr1:141474904-145716245,-0.0945630661181996,0.0,0.01316287713292452,0.10772594325112413
chr1:145820605-146634734,0.0,0.08225193706031937,0.0,0.08225193706031937
chr1:146661770-149362629,0.0,0.0,0.0,0.0
chr1:149369522-149394958,0.0,0.248877603899556,-0.26722750098661097,0.5161051048861669
chr1:149403519-149573806,0.0,-0.08499657883532155,0.0,0.08499657883532155
chr1:149579637-149598429,0.0,0.012504814625798742,-0.10128134518278377,0.1137861598085825
chr1:149604744-158365270,0.0,-0.09581949968295075,0.0,0.09581949968295075
chr1:158378189-186274119,0.0,0.0,0.0,0.0
chr1:186293872-193443252,0.0,0.0,0.0,0.0
chr1:193480150-193527058,0.0,0.06670458264321542,-0.16711485316794125,0.23381943581115666
chr1:193556792-199054142,0.0,0.0,0.0,0.0
chr1:199087690-199111062,0.0,-0.38735437065094647,0.3273633804634572,0.7147177511144036
chr1:199135441-244676774,0.0,0.0,0.0,0.0
chr1:244693374-245014643,-0.20825227465495302,0.0034669805518565996,0.015380312637130019,0.22709956784393964
chr1:245054641-245121447,0.0,0.0,0.0,0.0
chr1:245134410-245433846,0.0,0.0,0.0,0.0
chr2:712-125634,0.0,0.0,0.0,0.0
chr2:143031-8963807,0.0,0.0,0.0,0.0
chr2:8972669-89953713,0.0,0.0,0.017945584315284806,0.017945584315284806
chr2:91057159-91321476,0.0,-0.0728777349367852,0.21884445849737905,0.2917221934341643
chr2:91494116-130410215,0.0,-0.019823616314581443,0.029796385123416185,0.04962000143799763
chr2:130427665-130453073,0.0,0.0,0.0,0.0
chr2:130458581-131785093,0.0,-0.08775901859887891,0.0,0.08775901859887891
