,HER2+,HR+,Triple Neg,importance
chr1:2927-372295,0.0,-0.03751015477536425,0.0,0.03751015477536425
chr1:471671-1590570,0.0,0.0,0.0,0.0
chr1:1676445-1703748,0.0,-0.041716351255733336,0.08546323835217629,0.12717958960790962
chr1:1738295-2580342,0.0,0.0,0.0,0.0
chr1:2611444-2645074,0.0,0.0,0.0,0.0
chr1:2664285-2665530,0.0,0.0,-0.009995088586034784,0.009995088586034784
chr1:2672694-2856899,0.0,0.0,0.0,0.0
chr1:2870100-2901629,0.0,0.0,0.0,0.0
chr1:2903052-3112977,0.0,0.0,0.0,0.0
chr1:3125822-3137481,0.0,0.0,0.0,0.0
chr1:3149648-3157982,0.0,0.0,0.0,0.0
chr1:3166706-16531740,0.0,0.0,0.0,0.0
chr1:16551324-16997273,-0.051362410705751295,0.06899392772107414,0.0,0.12035633842682544
chr1:17030134-22668805,0.0,0.05513780132126658,-0.0423504607804509,0.09748826210171749
chr1:22674759-25318800,0.0,0.0,0.0,0.0
chr1:25354765-34166798,0.0,0.0,0.0,0.0
chr1:34172947-37578554,0.0,0.0,0.0,0.0
chr1:37599215-72473289,0.0,0.0,0.0,0.0
chr1:72489681-72620747,0.05470939301125799,0.0,-0.015482895373301546,0.07019228838455954
chr1:72661597-109968401,0.0,0.0,0.0,0.0
chr1:109987805-120232261,-0.040959823833202506,0.0,0.030019584918297395,0.0709794087514999
chr1:120313797-120737345,-0.08550104615284591,0.0,0.019148748231834423,0.10464979438468033
chr1:120761983-120923696,-0.002888951735977422,0.0,0.0,0.002888951735977422
chr1:141474904-145716245,-0.03363498177189879,0.0,0.0,0.03363498177189879
chr1:145820605-146634734,0.0,0.0,0.0,0.0
chr1:146661770-149362629,0.0,0.0,0.0,0.0
chr1:149369522-149394958,0.0,0.08684520125279516,-0.11148781898039056,0.19833302023318572
chr1:149403519-149573806,0.0,-0.04684069437435482,0.0,0.04684069437435482
chr1:149579637-149598429,0.0,0.0,0.0,0.0
chr1:149604744-158365270,0.0,-0.05226260355614728,0.0,0.05226260355614728
chr1:158378189-186274119,0.0,0.0,0.0,0.0
chr1:186293872-193443252,0.0,0.0,0.0,0.0
chr1:193480150-193527058,0.0,0.04942279450433535,-0.09338831315489285,0.1428111076592282
chr1:193556792-199054142,0.0,0.0,0.0,0.0
chr1:199087690-199111062,0.0,-0.09101606997306327,0.04991212574258415,0.1409281957156474
chr1:199135441-244676774,0.0,0.0,0.0,0.0
chr1:244693374-245014643,-0.0650452643360985,0.0,0.0,0.0650452643360985
chr1:245054641-245121447,0.0,-0.015685220166036386,0.02983188178199419,0.045517101948030575
chr1:245134410-245433846,0.0,0.0,0.0,0.0
