SegmentID	Chromosome	Start	End	n_raw_regions	H_statistic	p_value	bonferroni_significant
0	1	2927	372295	3	0.6252244041670113	0.7315335447538434	False
1	1	471671	1590570	4	1.5033524423142761	0.4715754251690101	False
2	1	1676445	1703748	1	2.705439814814765	0.25853610918815506	False
3	1	1738295	2580342	3	0.24902837737658048	0.8829257337194938	False
4	1	2611444	2645074	2	0.024568211339998095	0.9877910359587785	False
5	1	2664285	2665530	1	0.4827750473086647	0.7855371531686587	False
6	1	2672694	2856899	2	0.1821672465724656	0.9129413645501024	False
7	1	2870100	2901629	2	0.2733124910548518	0.8722700213223105	False
8	1	2903052	3112977	1	1.8255027173913008	0.4014182576624054	False
9	1	3125822	3137481	2	1.0530449799598158	0.5906554125096872	False
10	1	3149648	3157982	1	2.7725109573736906	0.25000972079724426	False
11	1	3166706	16531740	13	2.185947894782864	0.33521808887988747	False
12	1	16551324	16997273	6	3.2729544865931914	0.19466459182800652	False
13	1	17030134	22668805	5	3.51046864058125	0.1728667313629031	False
14	1	22674759	25318800	2	2.6730302382761577	0.2627597613666753	False
15	1	25354765	34166798	15	2.975516406505373	0.22587846197133338	False
16	1	34172947	37578554	3	0.7507272222882856	0.6870394181787585	False
17	1	37599215	72473289	52	1.8176742049312016	0.40299259073976235	False
18	1	72489681	72620747	1	4.6832918888432795	0.0961692187023321	False
19	1	72661597	109968401	34	0.5700317250408943	0.7520023255725072	False
20	1	109987805	120232261	21	1.2114444478414776	0.5456801810102355	False
21	1	120313797	120737345	2	5.303171437937094	0.07053926887119799	False
22	1	120761983	120923696	1	1.6307589806390927	0.4424713818904227	False
23	1	141474904	145716245	10	1.4664816881613554	0.4803497262225358	False
24	1	145820605	146634734	4	0.7352363429994213	0.6923815022135825	False
25	1	146661770	149362629	1	0.16485306952944997	0.920879087970666	False
26	1	149369522	149394958	1	7.511006930870453	0.02338867225640614	False
27	1	149403519	149573806	1	0.9886095041799218	0.6099948575538158	False
28	1	149579637	149598429	2	0.21227619173243445	0.8993004498258808	False
29	1	149604744	158365270	13	0.6390749069830951	0.7264849924669128	False
30	1	158378189	186274119	15	0.09404598623255724	0.9540654604001015	False
31	1	186293872	193443252	2	0.790248920870416	0.6735961979555618	False
32	1	193480150	193527058	1	0.3801113644739535	0.8269130882908704	False
33	1	193556792	199054142	3	0.5041524556616214	0.7771854926466578	False
34	1	199087690	199111062	1	0.6336165820952551	0.7284703960365262	False
35	1	199135441	244676774	30	0.11886976519923717	0.9422968915174372	False
36	1	244693374	245014643	5	1.7081311107169737	0.42568078041498647	False
37	1	245054641	245121447	2	0.8110395957766501	0.6666302078101988	False
38	1	245134410	245433846	3	1.4187484359226876	0.4919519558539399	False
39	2	712	125634	1	0.3575611186566291	0.8362893951696807	False
40	2	143031	8963807	7	0.7450495663974369	0.6889925759063629	False
41	2	8972669	89953713	37	4.62553786869959	0.09898678383751229	False
42	2	91057159	91321476	2	4.882952031175271	0.08703229558517042	False
43	2	91494116	130410215	19	3.2310920975866275	0.19878209607637215	False
44	2	130427665	130453073	1	2.315500017676674	0.3141923161200178	False
45	2	130458581	131785093	1	1.6979619565217392	0.42785069904637574	False
46	2	131792734	131931782	1	2.598715211891178	0.27270692208240277	False
47	2	131945577	132196569	2	4.597819216182004	0.10036822477807601	False
48	2	132210961	132323628	1	1.205068250758302	0.5474226392879766	False
